"Date","High price","Low price","Closing price"
"2022-02-17","2210.69","2163.22","2167.57"
"2022-02-18","2178.07","2125.17","2130.53"
"2022-02-21","2148.88","2073.39","2092.40"
"2022-02-22","2116.44","2030.33","2098.83"
"2022-02-23","2120.92","2077.08","2078.98"
"2022-02-25","2116.35","2046.15","2113.85"
"2022-02-28","2131.99","2069.02","2131.24"
"2022-03-01","2133.05","2073.20","2090.98"
"2022-03-02","2088.35","2049.46","2080.89"
"2022-03-03","2098.39","2044.33","2047.44"
"2022-03-04","2049.05","1996.92","2001.54"
"2022-03-07","2023.38","1928.78","1992.24"
"2022-03-08","2041.31","1967.39","1992.17"
"2022-03-09","2056.15","2009.74","2056.09"
"2022-03-10","2066.97","2027.06","2050.83"
"2022-03-11","2095.98","2045.60","2073.30"
"2022-03-14","2131.55","2077.12","2112.40"
"2022-03-15","2107.10","2057.76","2092.15"
"2022-03-16","2180.72","2132.49","2175.64"
"2022-03-17","2204.82","2181.50","2196.92"
"2022-03-18","2219.18","2179.66","2219.18"
"2022-03-21","2224.07","2204.84","2221.07"
"2022-03-22","2225.34","2202.15","2218.80"
"2022-03-23","2225.25","2184.39","2197.24"
"2022-03-24","2208.27","2171.83","2175.03"
"2022-03-25","2182.55","2148.14","2151.58"
"2022-03-28","2178.42","2148.49","2169.47"
"2022-03-29","2225.75","2191.28","2212.65"
"2022-03-30","2216.50","2187.68","2216.10"
"2022-03-31","2226.64","2192.15","2192.80"
"2022-04-01","2220.62","2190.96","2219.23"
"2022-04-04","2231.97","2205.78","2226.60"
"2022-04-05","2260.45","2234.02","2253.69"
"2022-04-06","2254.93","2206.74","2222.64"
"2022-04-07","2254.09","2224.90","2244.20"
"2022-04-08","2273.40","2252.22","2272.15"
"2022-04-11","2268.26","2230.01","2232.37"
"2022-04-12","2233.77","2201.93","2218.40"
"2022-04-13","2225.84","2208.14","2222.78"
"2022-04-18","2221.10","2218.20","2218.80"
"2022-04-19","2225.64","2187.53","2220.36"
"2022-04-20","2254.87","2218.91","2247.21"
"2022-04-21","2263.78","2232.83","2233.17"
"2022-04-22","2225.25","2201.64","2203.85"
"2022-04-25","2189.08","2152.46","2163.63"
"2022-04-26","2192.65","2134.10","2134.10"
"2022-04-27","2179.79","2122.29","2170.53"
"2022-04-28","2194.03","2144.90","2156.24"
"2022-04-29","2218.88","2169.19","2199.27"
"2022-05-02","2189.53","2030.20","2152.47"
"2022-05-03","2179.23","2150.54","2158.96"
"2022-05-04","2165.18","2136.59","2137.90"
"2022-05-05","2181.62","2119.92","2121.84"
"2022-05-09","2072.77","1992.92","1992.96"
"2022-05-10","2042.28","2000.86","2016.29"
"2022-05-11","2041.44","2005.61","2037.99"
"2022-05-12","2035.09","1989.38","2032.85"
"2022-05-13","2067.53","2039.05","2064.59"
"2022-05-16","2083.29","2046.50","2062.59"
"2022-05-17","2114.47","2075.66","2095.70"
"2022-05-18","2111.97","2070.69","2074.53"
